# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.duration,1778784241038000000,1778784295477000000,0
cacheStateStorage.get.duration,1778784241038000000,1778784295477000000,0
cacheStateStorage.set.counter,1778784241038000000,1778784295477000000,0
cacheStateStorage.get.counter,1778784241038000000,1778784295477000000,2
workspaceModel.full.replace.project.model.ms,1778784241038000000,1778784295477000000,0
workspaceModel.loading.total.ms,1778784241038000000,1778784295477000000,94
workspaceModel.updates.count,1778784241038000000,1778784295477000000,0
workspaceModel.pre.handlers.ms,1778784241038000000,1778784295477000000,0
workspaceModel.loading.from.cache.ms,1778784241038000000,1778784295477000000,64
workspaceModel.init.bridges.ms,1778784241038000000,1778784295477000000,0
workspaceModel.updates.ms,1778784241038000000,1778784295477000000,0
workspaceModel.collect.changes.ms,1778784241038000000,1778784295477000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1778784241038000000,1778784295477000000,3
workspaceModel.replace.project.model.ms,1778784241038000000,1778784295477000000,0
workspaceModel.update.unloaded.entities.ms,1778784241038000000,1778784295477000000,0
workspaceModel.initializing.ms,1778784241038000000,1778784295477000000,0
workspaceModel.to.snapshot.ms,1778784241038000000,1778784295477000000,0
workspaceModel.updates.precise.ms,1778784241038000000,1778784295477000000,0
workspaceModel.check.recursive.update.ms,1778784241038000000,1778784295477000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1778784241038000000,1778784295477000000,95791
FlushQueue.executionTime90PNs,1778784241038000000,1778784295477000000,0
NonBlockingReadAction.failedExecutionTimeUs,1778784241038000000,1778784295477000000,0
FlushQueue.waitingTime90PNs,1778784241038000000,1778784295477000000,0
FlushQueue.queueSizeAvg,1778784241038000000,1778784295477000000,0.0
FlushQueue.executionTimeAvgNs,1778784241038000000,1778784295477000000,0.0
FlushQueue.queueSize90P,1778784241038000000,1778784295477000000,0
FlushQueue.waitingTimeMaxNs,1778784241038000000,1778784295477000000,0
AWTEventQueue.dispatchTimeTotalNS,1778784241038000000,1778784295477000000,32721301404
AWTEventQueue.dispatchTimeAvgNs,1778784241038000000,1778784295477000000,0.0
FlushQueue.waitingTimeAvgNs,1778784241038000000,1778784295477000000,0.0
FlushQueue.tasksExecuted,1778784241038000000,1778784295477000000,0
WriteAction.executionsCount,1778784241038000000,1778784295477000000,0
AWTEventQueue.dispatchTime90PNs,1778784241038000000,1778784295477000000,0
ReadAction.executionsCount,1778784241038000000,1778784295477000000,29184
FlushQueue.executionTimeMaxNs,1778784241038000000,1778784295477000000,0
FlushQueue.queueSizeMax,1778784241038000000,1778784295477000000,0
AWTEventQueue.dispatchTimeMaxNs,1778784241038000000,1778784295477000000,0
NonBlockingReadAction.failedExecutionsCount,1778784241038000000,1778784295477000000,0
NonBlockingReadAction.finalizedExecutionsCount,1778784241038000000,1778784295477000000,7
AWTEventQueue.eventsDispatched,1778784241038000000,1778784295477000000,0
VFS.fileChildByName,1778784241038000000,1778784295477000000,0
VFS.invertedFileNameIndex.requests,1778784241038000000,1778784295477000000,0
VFS.fileByIdCache.hits,1778784241038000000,1778784295477000000,0
VFS.fileByIdCache.misses,1778784241038000000,1778784295477000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1778784241038000000,1778784295477000000,0
FilePageCacheLockFree.totalPagesReadMs,1778784241038000000,1778784295477000000,0
FilePageCacheLockFree.nativeBytesInUse,1778784241038000000,1778784295477000000,0
MappedFileStorage.totalPagesMapped,1778784241038000000,1778784295477000000,0
FilePageCacheLockFree.totalPagesRequested,1778784241038000000,1778784295477000000,0
StorageLockContext.competingThreads.90P,1778784241038000000,1778784295477000000,0
FilePageCacheLockFree.totalPagesHandedOver,1778784241038000000,1778784295477000000,0
FilePageCache.pageLoads,1778784241038000000,1778784295477000000,196
FilePageCacheLockFree.totalHeapBytesAllocated,1778784241038000000,1778784295477000000,0
FilePageCacheLockFree.totalBytesWritten,1778784241038000000,1778784295477000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1778784241038000000,1778784295477000000,0
FilePageCacheLockFree.totalPagesAllocated,1778784241038000000,1778784295477000000,0
DirectByteBufferAllocator.disposed,1778784241038000000,1778784295477000000,153
FileChannelInterruptsRetryer.totalRetriedAttempts,1778784241038000000,1778784295477000000,0
FilePageCacheLockFree.totalBytesRequested,1778784241038000000,1778784295477000000,0
FilePageCache.capacityInBytes,1778784241038000000,1778784295477000000,503316478
MappedFileStorage.storages,1778784241038000000,1778784295477000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1778784241038000000,1778784295477000000,0
DirectByteBufferAllocator.reclaimed,1778784241038000000,1778784295477000000,43
FilePageCache.pageHits,1778784241038000000,1778784295477000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1778784241038000000,1778784295477000000,10746207
FilePageCacheLockFree.totalBytesRead,1778784241038000000,1778784295477000000,0
FilePageCacheLockFree.heapBytesInUse,1778784241038000000,1778784295477000000,0
DirectByteBufferAllocator.hits,1778784241038000000,1778784295477000000,3
FilePageCacheLockFree.totalPagesWritten,1778784241038000000,1778784295477000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1778784241038000000,1778784295477000000,0
FilePageCache.maxRegisteredFiles,1778784241038000000,1778784295477000000,537
FilePageCacheLockFree.housekeeperTurnsDone,1778784241038000000,1778784295477000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1778784241038000000,1778784295477000000,0
FilePageCache.pageFastCacheHits,1778784241038000000,1778784295477000000,13603
FilePageCacheLockFree.totalPagesReclaimed,1778784241038000000,1778784295477000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1778784241038000000,1778784295477000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1778784241038000000,1778784295477000000,0
